#      lambda(um)  nuLnu(Lsun)
       5.4133558   2.6888749e+09
       5.4289266   2.6898174e+09
       5.4445421   2.6981334e+09
       5.4602025   2.7080214e+09
       5.4759080   2.7210605e+09
       5.4916587   2.7389688e+09
       5.5074546   2.7599597e+09
       5.5232960   2.7892015e+09
       5.5391830   2.8195600e+09
       5.5551156   2.8546509e+09
       5.5710941   2.9008967e+09
       5.5871186   2.9514575e+09
       5.6031891   3.0133200e+09
       5.6193059   3.0833477e+09
       5.6354690   3.1618816e+09
       5.6516786   3.2473928e+09
       5.6679348   3.3281619e+09
       5.6842378   3.3935739e+09
       5.7005877   3.4365459e+09
       5.7169846   3.4509247e+09
       5.7334287   3.4400172e+09
       5.7499201   3.4162242e+09
       5.7664589   3.3905996e+09
       5.7830453   3.3729772e+09
       5.7996794   3.3654371e+09
       5.8163613   3.3703745e+09
       5.8330912   3.3895047e+09
       5.8498693   3.4220100e+09
       5.8666956   3.4670451e+09
       5.8835703   3.5274169e+09
       5.9004935   3.6032929e+09
       5.9174654   3.6961057e+09
       5.9344862   3.8080140e+09
       5.9515559   3.9418857e+09
       5.9686747   4.1041679e+09
       5.9858427   4.2986285e+09
       6.0030601   4.5337615e+09
       6.0203270   4.8200206e+09
       6.0376436   5.1707336e+09
       6.0550100   5.6041191e+09
       6.0724264   6.1443504e+09
       6.0898929   6.8201527e+09
       6.1074096   7.6664840e+09
       6.1249766   8.7195876e+09
       6.1425942   9.9995343e+09
       6.1602625   1.1480461e+10
       6.1779816   1.3035796e+10
       6.1957517   1.4392210e+10
       6.2135729   1.5175941e+10
       6.2314453   1.5114114e+10
       6.2493692   1.4242883e+10
       6.2673446   1.2882748e+10
       6.2853717   1.1394850e+10
       6.3034507   1.0014553e+10
       6.3215816   8.8491802e+09
       6.3397647   7.9073366e+09
       6.3580002   7.1603503e+09
       6.3762880   6.5744041e+09
       6.3946285   6.1127201e+09
       6.4130217   5.7507492e+09
       6.4314678   5.4687805e+09
       6.4499670   5.2504046e+09
       6.4685194   5.0829423e+09
       6.4871252   4.9568318e+09
       6.5057845   4.8646202e+09
       6.5244974   4.8003256e+09
       6.5432642   4.7590441e+09
       6.5620849   4.7366306e+09
       6.5809598   4.7291773e+09
       6.5998890   4.7328962e+09
       6.6188726   4.7446258e+09
       6.6379109   4.7611542e+09
       6.6570039   4.7793680e+09
       6.6761518   4.7968379e+09
       6.6953547   4.8117712e+09
       6.7146130   4.8233790e+09
       6.7339266   4.8319783e+09
       6.7532957   4.8386701e+09
       6.7727206   4.8450028e+09
       6.7922014   4.8527177e+09
       6.8117382   4.8636932e+09
       6.8313311   4.8797424e+09
       6.8509805   4.9023642e+09
       6.8706863   4.9326277e+09
       6.8904489   4.9714134e+09
       6.9102682   5.0194453e+09
       6.9301446   5.0772530e+09
       6.9500782   5.1452417e+09
       6.9700691   5.2237164e+09
       6.9901175   5.3128792e+09
       7.0102235   5.4131028e+09
       7.0303874   5.5247757e+09
       7.0506093   5.6481317e+09
       7.0708894   5.7834002e+09
       7.0912278   5.9310739e+09
